Time resolution is 1 ps
Time: 835000 | vid_in: 49 | vid_out: 3d | LED: xxxxxxx0
Time: 845000 | vid_in: d0 | vid_out: ed | LED: xxxxxxx0
Time: 855000 | vid_in: d7 | vid_out: 8c | LED: xxxxxxx0
Time: 865000 | vid_in: 51 | vid_out: f9 | LED: xxxxxxx0
Time: 875000 | vid_in: 96 | vid_out: c6 | LED: xxxxxxx0
Time: 885000 | vid_in: 0c | vid_out: 00 | LED: xxxxxxx0
Time: 895000 | vid_in: c2 | vid_out: 00 | LED: xxxxxxx0
Time: 905000 | vid_in: c8 | vid_out: 00 | LED: xxxxxxx0
Time: 915000 | vid_in: 77 | vid_out: aa | LED: xxxxxxx0
Time: 925000 | vid_in: 3d | vid_out: aa | LED: xxxxxxx0
Time: 935000 | vid_in: 12 | vid_out: e5 | LED: xxxxxxx0
Time: 945000 | vid_in: 7e | vid_out: 77 | LED: xxxxxxx0
Time: 955000 | vid_in: 6d | vid_out: 12 | LED: xxxxxxx0
Time: 965000 | vid_in: 39 | vid_out: 8f | LED: xxxxxxx0
Time: 975000 | vid_in: 1f | vid_out: f2 | LED: xxxxxxx0
Time: 985000 | vid_in: d3 | vid_out: ce | LED: xxxxxxx0
Time: 995000 | vid_in: 85 | vid_out: 00 | LED: xxxxxxx0
